config,description,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties,delta_NDCG@5_vs_A0,delta_NDCG@5_ci_low,delta_NDCG@5_ci_high,delta_MRR_vs_A0,delta_MRR_ci_low,delta_MRR_ci_high
B0_rna_mean,Mean standardized DepMap/HPA/GEO RNA only,12,43,43,1.0,3,3,0.3611111111111111,0.3158068783068783,0.37156558671715767,0.31666666666666665,0.4723875661375662,0.42883067032580574,0.2916666666666667,0.8518518518518517,0.5656041011100668,0.49374999999999997,0.6975308641975309,0.6936396936396935,-0.08585838136463375,-0.16704988069534268,-0.013237005352398095,-0.09120370370370372,-0.20925925925925926,-0.0027546296296299634
A0_team_baseline,"Team formula: RNA .55, protein .30, confidence .15",12,43,43,1.0,3,3,0.38888888888888884,0.35747354497354494,0.4355245321275763,0.3666666666666667,0.541005291005291,0.5146890516904395,0.3,0.8796296296296297,0.6256290327883833,0.5849537037037037,0.621252204585538,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A1a_no_direct_protein,Remove direct protein term; retain protein-derived confidence,12,43,43,1.0,3,3,0.4166666666666666,0.38525132275132273,0.4806256120770853,0.3666666666666667,0.5224867724867726,0.5373334276914213,0.3,0.8796296296296297,0.6520484261180997,0.6462962962962963,0.6117724867724869,0.7466699966699967,0.02264437600098179,-0.03507538733016818,0.08977371745869955,0.061342592592592594,0.0,0.15162037037037038
A1b_no_protein_evidence,Remove protein and all protein-derived confidence features,12,43,43,1.0,3,3,0.3611111111111111,0.3713624338624338,0.4125368385937859,0.3666666666666667,0.611276455026455,0.5173763566364409,0.30000000000000004,0.861111111111111,0.608854930570674,0.5618055555555556,0.6466049382716049,0.7107337107337108,0.002687304946001371,-0.09609480279659187,0.12360319817259631,-0.023148148148148154,-0.16666666666666666,0.11921296296296295
A2_no_confidence,Remove composite confidence block,12,43,43,1.0,3,3,0.3333333333333333,0.2880291005291005,0.33245902621526136,0.31666666666666665,0.4426256613756614,0.39478126690307885,0.275,0.8148148148148148,0.5202114536068628,0.4396825396825397,0.701058201058201,0.6864246864246865,-0.11990778478736068,-0.21382190519840694,-0.03347190870010868,-0.14527116402116405,-0.2916666666666667,-0.014252645502645503
A3_equal_bio,Equal RNA/protein biological weights,12,43,43,1.0,3,3,0.3055555555555555,0.2648809523809524,0.36487565247950665,0.35000000000000003,0.5132275132275133,0.488803214447529,0.2916666666666667,0.8518518518518517,0.5991417543102572,0.5726851851851852,0.6265432098765432,0.9242424242424243,-0.02588583724291048,-0.06116261764387577,-0.0035421228175115207,-0.012268518518518517,-0.02893518518518518,0.0
A3b_reversed_bio,Protein biological weight greater than RNA,12,43,43,1.0,3,3,0.3055555555555555,0.2648809523809524,0.3581857182418557,0.35000000000000003,0.5132275132275133,0.48211328020987804,0.275,0.8136574074074073,0.5753422932004232,0.5599537037037037,0.6322751322751322,0.8661616161616162,-0.03257577148056152,-0.07146497455060198,-0.0035421228175115207,-0.024999999999999998,-0.05694444444444444,0.0
A4_adaptive_trust,Team formula plus gene-adaptive RNA trust,12,43,43,1.0,3,3,0.38888888888888884,0.35747354497354494,0.4355245321275763,0.35000000000000003,0.5305886243386243,0.5037552952310776,0.275,0.8483796296296297,0.6052142663512969,0.5849537037037037,0.621252204585538,0.9615384615384616,-0.010933756459361815,-0.032801269378085446,0.0,0.0,0.0,0.0
A5_v3_structure,Flat v3 four-term structure without adaptive trust,12,43,43,1.0,3,3,0.3333333333333333,0.306547619047619,0.3837335179404164,0.35000000000000003,0.4947089947089947,0.48146067677530535,0.2833333333333334,0.7685185185185185,0.5685916328802678,0.5522435897435897,0.5731922398589065,0.858003108003108,-0.03322837491513423,-0.10614434181463762,0.01794888745304003,-0.03271011396011396,-0.0634294871794872,-0.007870370370370368
A6_v3_full,Flat v3 four-term structure plus adaptive trust,12,43,43,1.0,3,3,0.3333333333333333,0.306547619047619,0.3837335179404164,0.35000000000000003,0.4947089947089947,0.48146067677530535,0.275,0.7581018518518517,0.562498563009942,0.5522435897435897,0.5731922398589065,0.8428515928515928,-0.03322837491513423,-0.10614434181463762,0.01794888745304003,-0.03271011396011396,-0.06356837606837606,-0.007870370370370368
