config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
B0_rna_mean,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,0.8,0.5714285714285714,0.8687949224876582,0.7,1.0,0.98037714746389,1.0,,0.6666666666666666
A0_team_baseline,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.988800903144152,1.0,,1.0
A1a_no_direct_protein,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.9815441540827997,1.0,,0.6666666666666666
A1b_no_protein_evidence,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,0.8,0.5714285714285714,0.8687949224876582,0.7,1.0,0.98037714746389,1.0,,0.6666666666666666
A2_no_confidence,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.988800903144152,1.0,,0.8181818181818182
A3_equal_bio,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.988800903144152,1.0,,0.8181818181818182
A3b_reversed_bio,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.9848330959553523,1.0,,0.8181818181818182
A4_adaptive_trust,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.988800903144152,1.0,,1.0
A5_v3_structure,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.9815441540827997,1.0,,0.8181818181818182
A6_v3_full,AFP,0.4890621527619184,0.9693740277333713,1513,7,7,0,0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,0.9815441540827997,1.0,,0.8181818181818182
B0_rna_mean,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,,1.0
A0_team_baseline,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,1.0
A1a_no_direct_protein,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,1.0
A1b_no_protein_evidence,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877,0.125,,1.0
A2_no_confidence,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,,1.0
A3_equal_bio,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,1.0
A3b_reversed_bio,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,1.0
A4_adaptive_trust,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812,0.1111111111111111,,1.0
A5_v3_structure,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,,1.0
A6_v3_full,ALB,,0.6,1513,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879,0.1,,1.0
B0_rna_mean,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.6666666666666666
A0_team_baseline,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,1.0
A1a_no_direct_protein,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.8181818181818182
A1b_no_protein_evidence,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.6666666666666666
A2_no_confidence,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.6666666666666666
A3_equal_bio,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,1.0
A3b_reversed_bio,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,1.0
A4_adaptive_trust,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,1.0
A5_v3_structure,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.8181818181818182
A6_v3_full,AR,0.8093101893031815,1.0,1513,2,2,0,0,0.6666666666666666,1.0,0.9197207891481876,0.4,1.0,0.9197207891481876,0.2,1.0,0.9197207891481876,1.0,,0.8181818181818182
B0_rna_mean,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.6,0.375,0.5296347172140421,0.8,1.0,0.798465881758476,0.5,,1.0
A0_team_baseline,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.8,1.0,0.8062174677412688,0.5,,1.0
A1a_no_direct_protein,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.8,1.0,0.8062174677412688,0.5,,1.0
A1b_no_protein_evidence,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.6,0.375,0.5296347172140421,0.8,1.0,0.798465881758476,0.5,,1.0
A2_no_confidence,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.6,0.375,0.5296347172140421,0.8,1.0,0.798465881758476,0.5,,1.0
A3_equal_bio,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.8,1.0,0.8062174677412688,0.5,,1.0
A3b_reversed_bio,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.7,0.875,0.7331006292973588,0.5,,0.8181818181818182
A4_adaptive_trust,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.6,0.375,0.5296347172140421,0.5,0.625,0.561240270496232,0.5,,0.5384615384615384
A5_v3_structure,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.8,1.0,0.8062174677412688,0.5,,1.0
A6_v3_full,DES,0.25843015254294,0.32360442712023196,1513,8,8,0,0,0.6666666666666666,0.25,0.5307212739772434,0.8,0.5,0.6608397947263839,0.7,0.875,0.7331006292973588,0.5,,0.8181818181818182
B0_rna_mean,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,0.3235866969737877,0.16666666666666666,0.9920634920634921,0.6666666666666666
A0_team_baseline,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.4,0.6666666666666666,0.38364913903790027,0.2,0.6666666666666666,0.38364913903790027,0.25,0.8373015873015873,1.0
A1a_no_direct_protein,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.2,0.3333333333333333,0.23463936301137822,0.2,0.6666666666666666,0.40179981797758046,0.3333333333333333,0.8128306878306878,0.5384615384615384
A1b_no_protein_evidence,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.4,0.6666666666666666,0.38364913903790027,0.2,0.6666666666666666,0.38364913903790027,0.25,0.9140211640211641,0.6666666666666666
A2_no_confidence,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3333333333333333,0.16716045496620227,0.16666666666666666,0.998015873015873,0.5384615384615384
A3_equal_bio,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.2,0.3333333333333333,0.18154179253735267,0.2,0.6666666666666666,0.3295827480202853,0.2,0.8465608465608465,0.8181818181818182
A3b_reversed_bio,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.2,0.3333333333333333,0.18154179253735267,0.1,0.3333333333333333,0.18154179253735267,0.2,0.8617724867724867,0.8181818181818182
A4_adaptive_trust,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.4,0.6666666666666666,0.38364913903790027,0.2,0.6666666666666666,0.38364913903790027,0.25,0.8373015873015873,1.0
