config,description,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties,delta_NDCG@5_vs_A0,delta_NDCG@5_ci_low,delta_NDCG@5_ci_high,delta_MRR_vs_A0,delta_MRR_ci_low,delta_MRR_ci_high
B0_rna_mean,Mean standardized DepMap/HPA/GEO RNA only,10,48,48,1.0,2,2,0.39999999999999997,0.2602777777777778,0.39811633371026744,0.36,0.3997222222222222,0.4217415220089575,0.36,0.7897222222222222,0.5657307897322874,0.5258333333333334,0.5502645502645502,0.699034299034299,-0.037802208909388436,-0.0914372071300008,0.019741917491982997,-0.05111111111111111,-0.1511111111111111,0.0
A0_team_baseline,"Team formula: RNA .55, protein .30, confidence .15",10,48,48,1.0,2,2,0.4333333333333333,0.28027777777777774,0.445044206312543,0.38000000000000006,0.4136111111111111,0.4595437309183459,0.4,0.8772222222222222,0.6291253265819249,0.5769444444444445,0.5132275132275133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A1a_no_direct_protein,Remove direct protein term; retain protein-derived confidence,10,48,48,1.0,2,2,0.4333333333333333,0.28027777777777774,0.4685081426136809,0.42000000000000004,0.4413888888888889,0.5027427566844952,0.38999999999999996,0.8480555555555556,0.6383150053766744,0.6436111111111111,0.5112433862433863,0.7754911754911754,0.04319902576614917,0.0,0.087604278926949,0.06666666666666668,0.0,0.16666666666666669
A1b_no_protein_evidence,Remove protein and all protein-derived confidence features,10,48,48,1.0,2,2,0.4333333333333333,0.2852777777777778,0.4388999515170943,0.42000000000000004,0.46638888888888885,0.48200038813648616,0.38,0.8174999999999999,0.6098261892428901,0.5991666666666666,0.5128968253968254,0.7323676323676324,0.02245665721814021,-0.06193697400652869,0.1187867981957688,0.02222222222222222,-0.12777777777777777,0.16677083333333179
A2_no_confidence,Remove composite confidence block,10,48,48,1.0,2,2,0.36666666666666664,0.24361111111111114,0.3511884611079918,0.36,0.3922222222222222,0.4000299101630766,0.37,0.8244444444444443,0.5577624704141426,0.4609523809523809,0.5525793650793651,0.716017316017316,-0.05951382075526931,-0.1313847052005208,0.008921333996779236,-0.11599206349206351,-0.2833333333333333,0.00246031746031746
A3_equal_bio,Equal RNA/protein biological weights,10,48,48,1.0,2,2,0.3333333333333333,0.19916666666666666,0.3674589740719945,0.4000000000000001,0.4386111111111111,0.4656927948012923,0.37,0.8230555555555557,0.595672941128773,0.5761111111111112,0.5165343915343915,0.9272727272727274,0.006149063882946376,-0.0174539927018618,0.041055338087327746,-0.0008333333333333304,-0.024999999999999994,0.022500000000000003
A3b_reversed_bio,Protein biological weight greater than RNA,10,48,48,1.0,2,2,0.36666666666666664,0.22416666666666668,0.38477865557768365,0.4000000000000001,0.4386111111111111,0.4656692192683449,0.36999999999999994,0.8355555555555556,0.6006809422323853,0.5727777777777777,0.517526455026455,0.8757575757575757,0.006125488349998984,-0.026977097127970327,0.05195528483839127,-0.004166666666666668,-0.05833333333333333,0.05416666666666666
A4_adaptive_trust,Team formula plus gene-adaptive RNA trust,10,48,48,1.0,2,2,0.4333333333333333,0.28027777777777774,0.445044206312543,0.36000000000000004,0.4011111111111111,0.4464232231671118,0.37,0.8397222222222223,0.6040661069146831,0.5769444444444445,0.5132275132275133,0.9538461538461538,-0.013120507751234179,-0.039361523253702534,0.0,0.0,0.0,0.0
A5_v3_structure,Flat v3 four-term structure without adaptive trust,10,48,48,1.0,2,2,0.3666666666666666,0.24916666666666668,0.3919720789148187,0.4000000000000001,0.4247222222222223,0.46352127190098785,0.35,0.7813888888888888,0.5693556243666682,0.5483333333333332,0.4900793650793651,0.8659673659673659,0.003977540982641903,-0.020375374467546344,0.03230799741547205,-0.028611111111111108,-0.06585416666666667,-0.0024999999999999996
A6_v3_full,Flat v3 four-term structure plus adaptive trust,10,48,48,1.0,2,2,0.3666666666666666,0.24916666666666668,0.3919720789148187,0.4000000000000001,0.4247222222222223,0.46352127190098785,0.33999999999999997,0.7688888888888888,0.5620439405222771,0.5483333333333332,0.4900793650793651,0.8477855477855478,0.003977540982641903,-0.020375374467546344,0.03230799741547205,-0.028611111111111108,-0.06444444444444444,-0.00222222222222222
