query_id,target_gene,exclusion_gene,disease,query_mode,profile,max_exclusion_penalty,n_candidates,n_exclusion_observed,n_exclusion_missing,exclusion_observed_fraction,exclusion_expr_min,exclusion_expr_max,exclusion_expr_range,n_unique_exclusion_expr,scaled_exclusion_mean,scaled_exclusion_median,scaled_exclusion_iqr,mean_final_score,final_score_std,min_final_score,max_final_score,zero_score_count,zero_score_fraction,top10_mean_scaled_exclusion,top10_high_exclusion_fraction_ge_0_8,n_unique_final_scores,largest_final_score_tie,tied_candidate_fraction,top10_with_ties_n,top10_cutoff_score,top10_cutoff_tie_size,top1_score_tie_size,largest_full_comparator_tie,candidate_set_same_as_P00,ranking_identical_to_P00,top10_jaccard_vs_P00,top10_entered_vs_P00,top10_left_vs_P00,top1_identical_to_P00,rank_spearman_vs_P00,mean_abs_rank_change_vs_P00,max_abs_rank_change_vs_P00,n_ranked_down_vs_P00,n_ranked_up_vs_P00,n_rank_unchanged_vs_P00
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,GENE_MULTIOMICS,P00_no_penalty,0.0,43,43,0,1.0,-1.6987300204053046,2.717962921151329,4.416692941556634,43,0.4979892178591157,0.4920975592931516,0.17508810153833504,0.3367697674418605,0.19811044903342423,0.0802,0.9381,0,0.0,0.46981453671069684,0.0,43,1,0.0,10,0.45,1,1,1,True,True,1.0,0,0,True,1.0,0.0,0.0,0,0,43
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,GENE_MULTIOMICS,P15_weak,0.15,43,43,0,1.0,-1.6987300204053046,2.717962921151329,4.416692941556634,43,0.4979892178591157,0.4920975592931516,0.17508810153833504,0.2639395348837209,0.20045301965337356,0.0,0.8696,2,0.046511627906976744,0.39815253643806203,0.0,42,2,0.046511627906976744,10,0.3716,1,1,2,True,False,0.8181818181818182,1,1,True,0.9650772083745968,2.2790697674418605,10.0,14,17,12
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,GENE_MULTIOMICS,P30_team_baseline,0.3,43,43,0,1.0,-1.6987300204053046,2.717962921151329,4.416692941556634,43,0.4979892178591157,0.4920975592931516,0.17508810153833504,0.20461162790697676,0.19063588721093092,0.0,0.8011,10,0.23255813953488372,0.3710392358567419,0.0,34,10,0.23255813953488372,10,0.3041,1,1,6,True,False,0.6666666666666666,2,2,True,0.9208097931880718,3.395348837209302,16.0,17,19,7
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,GENE_MULTIOMICS,P45_stress,0.45,43,43,0,1.0,-1.6987300204053046,2.717962921151329,4.416692941556634,43,0.4979892178591157,0.4920975592931516,0.17508810153833504,0.1537767441860465,0.17928415128233616,0.0,0.7325,14,0.32558139534883723,0.3238849926684213,0.0,30,14,0.32558139534883723,10,0.256,1,1,9,True,False,0.5384615384615384,3,3,True,0.8419063437350821,4.8604651162790695,21.5,19,22,2
Q02_ERBB2_ESR1_BREAST,ERBB2,ESR1,breast,GENE_MULTIOMICS,P00_no_penalty,0.0,73,73,0,1.0,-1.0223255623870044,6.799609771156073,7.8219353335430775,73,0.2863313632854408,0.17422548275640293,0.36850199051769866,0.5001657534246576,0.22002151589630742,0.0619,0.9773,0,0.0,0.2557245214014583,0.0,73,1,0.0,10,0.8392,1,1,1,True,True,1.0,0,0,True,1.0,0.0,0.0,0,0,73
Q02_ERBB2_ESR1_BREAST,ERBB2,ESR1,breast,GENE_MULTIOMICS,P15_weak,0.15,73,73,0,1.0,-1.0223255623870044,6.799609771156073,7.8219353335430775,73,0.2863313632854408,0.17422548275640293,0.36850199051769866,0.45721369863013706,0.21638448929996765,0.0516,0.9142,0,0.0,0.21504924595515584,0.0,73,1,0.0,10,0.7999,1,1,1,True,False,0.8181818181818182,1,1,True,0.9760273972602742,3.3698630136986303,13.0,23,44,6
Q02_ERBB2_ESR1_BREAST,ERBB2,ESR1,breast,GENE_MULTIOMICS,P30_team_baseline,0.3,73,73,0,1.0,-1.0223255623870044,6.799609771156073,7.8219353335430775,73,0.2863313632854408,0.17422548275640293,0.36850199051769866,0.4146643835616438,0.2184689435123778,0.0,0.8899,1,0.0136986301369863,0.21504924595515584,0.0,73,1,0.0,10,0.7418,1,1,1,True,False,0.8181818181818182,1,1,False,0.9223127236825868,6.383561643835616,23.0,26,46,1
Q02_ERBB2_ESR1_BREAST,ERBB2,ESR1,breast,GENE_MULTIOMICS,P45_stress,0.45,73,73,0,1.0,-1.0223255623870044,6.799609771156073,7.8219353335430775,73,0.2863313632854408,0.17422548275640293,0.36850199051769866,0.3744315068493151,0.22217803910853332,0.0,0.879,2,0.0273972602739726,0.16366051036436677,0.0,70,2,0.0821917808219178,10,0.7342,1,1,1,True,False,0.6666666666666666,2,2,False,0.8377183850443699,9.191780821917808,35.0,25,47,1
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,GENE_MULTIOMICS,P00_no_penalty,0.0,239,239,0,1.0,-0.4830016367502353,5.607139635648773,6.090141272399008,224,0.32556328005748575,0.2539707976586475,0.5343497031813509,0.28643263598326363,0.22623417687048297,0.0619,0.925,0,0.0,0.1386362735499997,0.0,214,5,0.17154811715481172,10,0.8563,1,1,5,True,True,1.0,0,0,True,1.0,0.0,0.0,0,0,239
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,GENE_MULTIOMICS,P15_weak,0.15,239,239,0,1.0,-0.4830016367502353,5.607139635648773,6.090141272399008,224,0.32556328005748575,0.2539707976586475,0.5343497031813509,0.23780167364016735,0.23546474653145766,0.0,0.9221,2,0.008368200836820083,0.024857018836805644,0.0,228,2,0.09205020920502092,10,0.8493,1,1,2,True,False,0.6666666666666666,2,2,True,0.8380533420493976,29.200836820083683,113.0,102,130,7
