query_id,target_gene,exclusion_gene,disease_context,profile,max_exclusion_penalty,DepMap_ID,cell_line,lineage,primary_disease,exclusion_evidence_observed,exclusion_expression_std_mean,exclusion_scaled_within_query,rna_score,protein_score,biological_score,confidence_score,exclusion_penalty,final_score,production_ordinal_rank,score_tie_rank_min,score_tie_rank_max,score_tie_rank_mid,final_score_tie_size,full_comparator_tie_size,p00_final_score,p00_score_tie_rank_mid,realised_score_drop_vs_P00,rank_change_vs_P00_positive_is_down,in_top10_with_ties,in_P00_top10_with_ties,score_clipped_to_zero
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000581,SNU16,gastric,Gastric Cancer,True,0.3190376392449971,0.45685033719802876,1.0,,1.0,0.5875,0.0,0.9381,1,1,1,1.0,1,1,0.9381,1.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000793,KATOIII,gastric,Gastric Cancer,True,1.078912486862736,0.6288964489999341,0.9858,,0.9858,0.5875,0.0,0.926,2,2,2,2.0,1,1,0.926,2.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000144,RERFGC1B,gastric,Gastric Cancer,True,1.0624062322741605,0.6251592060430449,0.7606,,0.7606,0.5875,0.0,0.7347,3,3,3,3.0,1,1,0.7347,3.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000633,FU97,gastric,Gastric Cancer,True,-0.8833576665655151,0.18461151015683175,0.5041,,0.5041,0.5875,0.0,0.5166,4,4,4,4.0,1,1,0.5166,4.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000247,OCUM1,gastric,Gastric Cancer,True,0.6585242683849536,0.5337147770928037,0.4807,,0.4807,0.5875,0.0,0.4967,5,5,5,5.0,1,1,0.4967,5.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000538,HUTU80,gastric,Gastric Cancer,True,-1.56247710535402,0.030849533090535185,0.4871,,0.4871,0.5,0.0,0.489,6,6,6,6.0,1,1,0.489,6.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000674,NUGC4,gastric,Gastric Cancer,True,1.8219928205211326,0.7971400519605925,0.4484,,0.4484,0.5875,0.0,0.4692,7,7,7,7.0,1,1,0.4692,7.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000761,NUGC2,gastric,Gastric Cancer,True,0.2741172852587982,0.4466797515176108,0.4494,,0.4494,0.5,0.0,0.457,8,8,8,8.0,1,1,0.457,8.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000110,NCCSTCK140,gastric,Gastric Cancer,True,0.3839281101377026,0.4715424318832064,0.447,,0.447,0.5,0.0,0.4549,9,9,9,9.0,1,1,0.4549,9.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000239,HUG1N,gastric,Gastric Cancer,True,0.6098812064903589,0.5227013191643811,0.4411,,0.4411,0.5,0.0,0.45,10,10,10,10.0,1,1,0.45,10.0,0.0,0.0,True,True,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-001015,AZ521,gastric,Gastric Cancer,True,-1.3430976872986289,0.08052004923424347,0.4448,,0.4448,0.4125,0.0,0.4399,11,11,11,11.0,1,1,0.4399,11.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000485,GSU,gastric,Gastric Cancer,True,0.8116317821084148,0.56838042302958,0.4164,,0.4164,0.5,0.0,0.4289,12,12,12,12.0,1,1,0.4289,12.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000466,SNU216,gastric,Gastric Cancer,True,0.8252608659893396,0.5714662349846491,0.3898,,0.3898,0.5875,0.0,0.4195,13,13,13,13.0,1,1,0.4195,13.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000507,KE39,gastric,Gastric Cancer,True,0.47471379628200483,0.4920975592931516,0.386,,0.386,0.5,0.0,0.4031,14,14,14,14.0,1,1,0.4031,14.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000356,MKN45,gastric,Gastric Cancer,True,2.366261419467912,0.9203699450386827,0.3673,,0.3673,0.5875,0.0,0.4003,15,15,15,15.0,1,1,0.4003,15.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000847,HGC27,gastric,Gastric Cancer,True,-0.5876300265078397,0.2515683133511802,0.3429,,0.3429,0.5875,0.0,0.3796,16,16,16,16.0,1,1,0.3796,16.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000880,AGS,gastric,Gastric Cancer,True,0.20693519654434636,0.4314688030538098,0.3353,,0.3353,0.5875,0.0,0.3731,17,17,17,17.0,1,1,0.3731,17.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000908,SNU520,gastric,Gastric Cancer,True,1.209358540939925,0.6584312289367106,0.3353,,0.3353,0.5,0.0,0.36,18,18,18,18.0,1,1,0.36,18.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000325,SNU620,gastric,Gastric Cancer,True,2.1934093963404067,0.8812338707372201,0.3183,,0.3183,0.5875,0.0,0.3587,19,19,19,19.0,1,1,0.3587,19.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000758,MKN74,gastric,Gastric Cancer,True,-0.08220823972678769,0.36600275411239813,0.3031,,0.3031,0.5875,0.0,0.3458,20,20,20,20.0,1,1,0.3458,20.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000898,SNU719,gastric,Gastric Cancer,True,1.3701238869482986,0.6948307133780521,0.2999,,0.2999,0.5875,0.0,0.3431,21,21,21,21.0,1,1,0.3431,21.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000919,IM95,gastric,Gastric Cancer,True,0.4921902302798982,0.49605446420575205,0.2978,,0.2978,0.5875,0.0,0.3412,22,22,22,22.0,1,1,0.3412,22.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-001653,SKGT2,gastric,Gastric Cancer,True,-0.058664682807265854,0.3713333390616031,0.3181,,0.3181,0.4125,0.0,0.3323,23,23,23,23.0,1,1,0.3323,23.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000746,GSS,gastric,Gastric Cancer,True,-0.1552770493896924,0.34945897109877705,0.2834,,0.2834,0.5,0.0,0.3159,24,24,24,24.0,1,1,0.3159,24.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000047,GCIY,gastric,Gastric Cancer,True,0.8530708135563844,0.5777627894282196,0.2988,,0.2988,0.4125,0.0,0.3158,25,25,25,25.0,1,1,0.3158,25.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000949,TGBC11TKB,gastric,Gastric Cancer,True,0.04710874821706276,0.39528189795486623,0.2736,,0.2736,0.5,0.0,0.3076,26,26,26,26.0,1,1,0.3076,26.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000932,SNU1,gastric,Gastric Cancer,True,-1.6987300204053046,0.0,0.2439,,0.2439,0.5875,0.0,0.2954,27,27,27,27.0,1,1,0.2954,27.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000736,SNU601,gastric,Gastric Cancer,True,0.41062202238205486,0.47758630058713847,0.2388,,0.2388,0.5875,0.0,0.2911,28,28,28,28.0,1,1,0.2911,28.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000427,NCIN87,gastric,Gastric Cancer,True,0.1871530531754737,0.42698985384211735,0.2105,,0.2105,0.5875,0.0,0.2671,29,29,29,29.0,1,1,0.2671,29.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000948,2313287,gastric,Gastric Cancer,True,0.27546691723596967,0.4469853267511691,0.178,,0.178,0.5875,0.0,0.2394,30,30,30,30.0,1,1,0.2394,30.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000678,MKN7,gastric,Gastric Cancer,True,0.8949990795616151,0.5872559252563248,0.1694,,0.1694,0.5875,0.0,0.2321,31,31,31,31.0,1,1,0.2321,31.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-002446,CCLFUPGI0005T,gastric,Gastric Cancer,True,-0.16162204683312367,0.348022376450385,0.1597,,0.1597,0.4125,0.0,0.1976,32,32,32,32.0,1,1,0.1976,32.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000911,NUGC3,gastric,Gastric Cancer,True,0.6645000215710603,0.53506776976519,0.0624,,0.0624,0.5875,0.0,0.1412,33,33,33,33.0,1,1,0.1412,33.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-002647,CCC5,gastric,Gastric Cancer,True,0.2818909942684927,0.44843982610567007,0.0832,,0.0832,0.4125,0.0,0.1326,34,34,34,34.0,1,1,0.1326,34.0,0.0,0.0,False,False,False
Q01_FGFR2_MET_GASTRIC,FGFR2,MET,gastric,P00_no_penalty,0.0,ACH-000351,MKN1,gastric,Gastric Cancer,True,0.20889235917898108,0.43191193158018293,0.0397,,0.0397,0.5875,0.0,0.1219,35,35,35,35.0,1,1,0.1219,35.0,0.0,0.0,False,False,False
