config,metric,old_value,new_value,expanded_benchmark_delta,old_rank_among_four,new_rank_among_four,rank_change,rank_spearman_among_four,n_common_genes,common_gene_mean_abs_delta
A0_team_baseline,P@5,0.2666666666666666,0.3666666666666667,0.10000000000000009,1.0,1.0,0.0,-0.3333333333333333,6,0.0
A1a_no_direct_protein,P@5,0.2333333333333333,0.3666666666666667,0.1333333333333334,4.0,1.0,-3.0,-0.3333333333333333,6,0.0
A1b_no_protein_evidence,P@5,0.2666666666666666,0.3666666666666667,0.10000000000000009,1.0,1.0,0.0,-0.3333333333333333,6,0.0
A4_adaptive_trust,P@5,0.2666666666666666,0.35,0.08333333333333337,1.0,4.0,3.0,-0.3333333333333333,6,0.0
A0_team_baseline,Recall@5,0.5833333333333334,0.541005291005291,-0.042328042328042326,1.0,2.0,1.0,0.7745966692414834,6,0.0
A1a_no_direct_protein,Recall@5,0.5277777777777778,0.5224867724867726,-0.005291005291005235,4.0,4.0,0.0,0.7745966692414834,6,0.0
A1b_no_protein_evidence,Recall@5,0.5833333333333334,0.611276455026455,0.02794312169312163,1.0,1.0,0.0,0.7745966692414834,6,0.0
A4_adaptive_trust,Recall@5,0.5833333333333334,0.5305886243386243,-0.052744708994709066,1.0,3.0,2.0,0.7745966692414834,6,0.0
A0_team_baseline,NDCG@5,0.4505454617659019,0.5146890516904395,0.06414358992453767,3.0,3.0,0.0,0.9438798074485388,6,0.0
A1a_no_direct_protein,NDCG@5,0.4768060984919364,0.5373334276914213,0.06052732919948495,1.0,1.0,0.0,0.9438798074485388,6,0.0
A1b_no_protein_evidence,NDCG@5,0.452310811209883,0.5173763566364409,0.0650655454265579,2.0,2.0,0.0,0.9438798074485388,6,0.0
A4_adaptive_trust,NDCG@5,0.4505454617659019,0.5037552952310776,0.05320983346517577,3.0,4.0,1.0,0.9438798074485388,6,0.0
A0_team_baseline,P@10,0.1666666666666666,0.3,0.1333333333333334,1.0,1.0,0.0,,6,0.0
A1a_no_direct_protein,P@10,0.1666666666666666,0.3,0.1333333333333334,1.0,1.0,0.0,,6,0.0
A1b_no_protein_evidence,P@10,0.1666666666666666,0.3,0.1333333333333334,1.0,1.0,0.0,,6,0.0
A4_adaptive_trust,P@10,0.1666666666666666,0.275,0.10833333333333342,1.0,4.0,3.0,,6,0.0
A0_team_baseline,Recall@10,0.8333333333333334,0.8796296296296297,0.04629629629629628,1.0,1.0,0.0,,6,0.0
A1a_no_direct_protein,Recall@10,0.8333333333333334,0.8796296296296297,0.04629629629629628,1.0,1.0,0.0,,6,0.0
A1b_no_protein_evidence,Recall@10,0.8333333333333334,0.861111111111111,0.02777777777777768,1.0,3.0,2.0,,6,0.0
A4_adaptive_trust,Recall@10,0.8333333333333334,0.8483796296296297,0.01504629629629628,1.0,4.0,3.0,,6,0.0
A0_team_baseline,NDCG@10,0.5329548616461105,0.6256290327883833,0.09267417114227283,3.0,2.0,-1.0,0.674199862463242,6,0.0
A1a_no_direct_protein,NDCG@10,0.5870755741998455,0.6520484261180997,0.06497285191825419,1.0,1.0,0.0,0.674199862463242,6,0.0
A1b_no_protein_evidence,NDCG@10,0.537126024610383,0.608854930570674,0.07172890596029102,2.0,3.0,1.0,0.674199862463242,6,0.0
A4_adaptive_trust,NDCG@10,0.5329548616461105,0.6052142663512969,0.07225940470518644,3.0,4.0,1.0,0.674199862463242,6,0.0
A0_team_baseline,MRR,0.5101851851851852,0.5849537037037037,0.07476851851851851,3.0,2.0,-1.0,0.2075143391598224,6,0.0
A1a_no_direct_protein,MRR,0.6074074074074075,0.6462962962962963,0.03888888888888875,1.0,1.0,0.0,0.2075143391598224,6,0.0
A1b_no_protein_evidence,MRR,0.5125000000000001,0.5618055555555556,0.04930555555555549,2.0,4.0,2.0,0.2075143391598224,6,0.0
A4_adaptive_trust,MRR,0.5101851851851852,0.5849537037037037,0.07476851851851851,3.0,2.0,-1.0,0.2075143391598224,6,0.0
A0_team_baseline,neg_sink,0.4702380952380952,0.621252204585538,0.1510141093474428,2.0,2.0,0.0,1.0,6,0.0
A1a_no_direct_protein,neg_sink,0.4645502645502645,0.6117724867724869,0.14722222222222237,4.0,4.0,0.0,1.0,6,0.0
A1b_no_protein_evidence,neg_sink,0.4736772486772486,0.6466049382716049,0.17292768959435634,1.0,1.0,0.0,1.0,6,0.0
A4_adaptive_trust,neg_sink,0.4702380952380952,0.621252204585538,0.1510141093474428,2.0,2.0,0.0,1.0,6,0.0
