config,gene,rna_w,protein_w,confidence_w,protein_mode,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink
W_rna0.90_protein0.00_confidence0.10,AFP,0.9,0.0,0.1,direct_off,1513,8,8,0,0,1.0,0.375,1.0,0.8,0.5,0.8687949224876582,0.7,0.875,0.9021484053648395,1.0,
W_rna0.85_protein0.00_confidence0.15,AFP,0.85,0.0,0.15,direct_off,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.80_protein0.00_confidence0.20,AFP,0.8,0.0,0.2,direct_off,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.75_protein0.00_confidence0.25,AFP,0.75,0.0,0.25,direct_off,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.70_protein0.00_confidence0.30,AFP,0.7,0.0,0.3,direct_off,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.6,0.75,0.8358912271816661,1.0,
W_rna0.85_protein0.05_confidence0.10,AFP,0.85,0.05,0.1,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.9098999913476323,1.0,
W_rna0.80_protein0.05_confidence0.15,AFP,0.8,0.05,0.15,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.9062487935025676,1.0,
W_rna0.75_protein0.05_confidence0.20,AFP,0.75,0.05,0.2,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.70_protein0.05_confidence0.25,AFP,0.7,0.05,0.25,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.65_protein0.05_confidence0.30,AFP,0.65,0.05,0.3,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.6,0.75,0.8358912271816661,1.0,
W_rna0.80_protein0.10_confidence0.10,AFP,0.8,0.1,0.1,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.9098999913476323,1.0,
W_rna0.75_protein0.10_confidence0.15,AFP,0.75,0.1,0.15,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.9098999913476323,1.0,
W_rna0.70_protein0.10_confidence0.20,AFP,0.7,0.1,0.2,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.7,0.875,0.903222291229094,1.0,
W_rna0.65_protein0.10_confidence0.25,AFP,0.65,0.1,0.25,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.6,0.75,0.8301054527851841,1.0,
W_rna0.60_protein0.10_confidence0.30,AFP,0.6,0.1,0.3,full,1513,8,8,0,0,1.0,0.375,1.0,1.0,0.625,1.0,0.6,0.75,0.8358912271816661,1.0,
