held_out_gene,selected_config,rna_w,protein_w,confidence_w,protein_mode,training_n_genes,training_NDCG@5,training_unconstrained_best,training_one_se_threshold,training_best_se,held_out_P@5,held_out_Recall@5,held_out_NDCG@5,held_out_NDCG@10,held_out_MRR,held_out_neg_sink,A0_NDCG@5,A0_NDCG@10,A0_MRR,A1a_NDCG@5,A1a_NDCG@10,A1a_MRR,delta_NDCG@5_vs_A0,delta_NDCG@5_vs_A1a,delta_MRR_vs_A0,delta_MRR_vs_A1a,unconstrained_rna_w,unconstrained_protein_w,unconstrained_confidence_w,unconstrained_protein_mode,unconstrained_held_out_P@5,unconstrained_held_out_Recall@5,unconstrained_held_out_NDCG@5,unconstrained_held_out_NDCG@10,unconstrained_held_out_MRR,unconstrained_delta_NDCG@5_vs_A0,unconstrained_delta_NDCG@5_vs_A1a,unconstrained_delta_MRR_vs_A0,unconstrained_delta_MRR_vs_A1a
AFP,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.4474919518716612,W_rna0.70_protein0.00_confidence0.30,0.37446034453798416,0.11281396353327898,1.0,0.625,1.0,0.903222291229094,1.0,,1.0,0.9860433320650158,1.0,1.0,0.903222291229094,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,1.0,0.625,1.0,0.8358912271816661,1.0,0.0,0.0,0.0,0.0
ALB,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.5586030629827723,W_rna0.70_protein0.00_confidence0.30,0.4909737255265636,0.10741169365581059,0.0,0.0,0.0,0.3010299956639812,0.1111111111111111,,0.0,0.3010299956639812,0.1111111111111111,0.0,0.3010299956639812,0.1111111111111111,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.0,0.0,0.0,0.31546487678572877,0.125,0.0,0.0,0.013888888888888895,0.013888888888888895
AR,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.45641186418852925,W_rna0.70_protein0.00_confidence0.30,0.37884473646483185,0.11734948392329932,0.4,1.0,0.9197207891481876,0.9197207891481876,1.0,,0.9197207891481876,0.9197207891481876,1.0,0.9197207891481876,0.9197207891481876,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.4,1.0,0.9197207891481876,0.9197207891481876,1.0,0.0,0.0,0.0,0.0
DES,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.4851764191242853,W_rna0.70_protein0.00_confidence0.30,0.384879470319074,0.12123707137850114,0.8,0.5,0.6608397947263839,0.8062174677412687,0.5,,0.6608397947263839,0.8062174677412687,0.5,0.6608397947263839,0.8062174677412687,0.5,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.8,0.5,0.830419897363192,0.9326888191250973,1.0,0.16958010263680812,0.16958010263680812,0.5,0.5
ESR1,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.5322477615639616,W_rna0.70_protein0.00_confidence0.30,0.45115134971595544,0.12087876804760816,0.2,0.5,0.23719771276929622,0.430624116386567,0.2,0.25066137566137564,0.23719771276929622,0.430624116386567,0.2,0.23719771276929622,0.430624116386567,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.2,0.5,0.23719771276929622,0.430624116386567,0.2,0.0,0.0,0.0,0.0
GFAP,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.484004610480183,W_rna0.70_protein0.00_confidence0.30,0.3983247528181487,0.12546221386163622,0.4,0.6666666666666666,0.6713860725233041,0.6713860725233041,1.0,,0.6713860725233041,0.812653045383133,1.0,0.6713860725233041,0.6713860725233041,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.4,0.6666666666666666,0.6713860725233041,0.6713860725233041,1.0,0.0,0.0,0.0,0.0
MET,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.4971423440929786,W_rna0.70_protein0.00_confidence0.30,0.41986356615010345,0.126259043833831,0.4,0.4,0.5531464700081437,0.7581788882067646,1.0,0.7718253968253969,0.38356636737133565,0.5926568948615111,0.5,0.5531464700081437,0.7581788882067646,1.0,0.169580102636808,0.0,0.5,0.0,0.7,0.0,0.3,direct_off,0.4,0.4,0.4703652827859579,0.591176585485452,1.0,0.08679891541462226,-0.08278118722218575,0.5,0.0
MITF,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.4874980201580206,W_rna0.70_protein0.00_confidence0.30,0.40372041384218593,0.126172379492559,0.6,0.5,0.639945385422766,0.7742158010001621,1.0,,0.5531464700081437,0.6800761159906735,1.0,0.639945385422766,0.7742158010001621,1.0,0.08679891541462237,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.6,0.5,0.6164336326286644,0.7532383601611259,1.0,0.0632871626205207,-0.02351175279410167,0.0,0.0
MSLN,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.5586030629827723,W_rna0.70_protein0.00_confidence0.30,0.4909737255265636,0.10741169365581059,0.0,0.0,0.0,0.3535124404757274,0.125,,0.0,0.3535124404757274,0.125,0.0,0.3535124404757274,0.125,0.0,0.0,0.0,0.0,0.7,0.0,0.3,direct_off,0.0,0.0,0.0,0.13905617951077562,0.16666666666666666,0.0,0.0,0.04166666666666666,0.04166666666666666
PTPRC,W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,9,0.5202484693997868,W_rna0.70_protein0.05_confidence0.25,0.4057987747667525,0.12574549327136617,0.4,0.2222222222222222,0.34519134224686937,0.4650421913916867,0.5,,0.16958010263680806,0.40871906810318365,0.3333333333333333,0.34519134224686937,0.4650421913916867,0.5,0.1756112396100613,0.0,0.16666666666666669,0.0,0.7,0.05,0.25,full,0.4,0.2222222222222222,0.4703652827859579,0.5517905102360229,1.0,0.30078518014914984,0.12517394053908854,0.6666666666666667,0.5
