config,rna_w,protein_w,confidence_w,protein_mode,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,distance_to_A0,distance_to_A1a,delta_NDCG@5_vs_A0,delta_NDCG@5_vs_A0_ci_low,delta_NDCG@5_vs_A0_ci_high,delta_MRR_vs_A0,delta_MRR_vs_A0_ci_low,delta_MRR_vs_A0_ci_high,delta_NDCG@10_vs_A0,delta_NDCG@10_vs_A0_ci_low,delta_NDCG@10_vs_A0_ci_high,delta_NDCG@5_vs_A1a,delta_NDCG@5_vs_A1a_ci_low,delta_NDCG@5_vs_A1a_ci_high,delta_MRR_vs_A1a,delta_MRR_vs_A1a_ci_low,delta_MRR_vs_A1a_ci_high,delta_NDCG@10_vs_A1a,delta_NDCG@10_vs_A1a_ci_low,delta_NDCG@10_vs_A1a_ci_high,unconstrained_best,best_NDCG@5_standard_error,one_se_threshold,eligible_one_se,selected_one_se
W_rna0.70_protein0.00_confidence0.30,0.7,0.0,0.3,direct_off,0.4,0.2547222222222222,0.4796835693239213,0.44000000000000006,0.4525,0.5385468772641369,0.35,0.7655555555555555,0.6187224055768885,0.7491666666666668,0.45105820105820105,10,48,48,1.0,2,2,0.5999999999999999,0.30000000000000004,0.0790031463457909,0.008679891541462226,0.17503564968362995,0.17222222222222222,0.013888888888888886,0.3388888888888889,-0.010402921005036364,-0.08867603115068581,0.062322854108771586,0.03580412057964173,-0.018907412723847317,0.10539426753693078,0.10555555555555554,0.002777777777777779,0.2513888888888889,-0.019592599799785802,-0.08509020369536517,0.04159939334877933,True,0.11318334085062348,0.4253635364135134,True,False
W_rna0.65_protein0.05_confidence0.30,0.65,0.05,0.3,full,0.36666666666666664,0.24361111111111108,0.45621963302278346,0.44000000000000006,0.4525,0.5361957019847267,0.35,0.7655555555555555,0.6154752412955395,0.7491666666666668,0.45105820105820105,10,48,48,1.0,2,2,0.5,0.3999999999999999,0.07665197106638073,0.008679891541462226,0.16837385234416216,0.17222222222222222,0.015277777777777776,0.33472222222222225,-0.013650085286385344,-0.08874853750427536,0.05616129917128815,0.03345294530023157,-0.017682819839859244,0.09833069737821931,0.10555555555555554,0.004166666666666666,0.25,-0.022839764081134785,-0.08832013791144472,0.03655268254830177,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.70_protein0.05_confidence0.25,0.7,0.05,0.25,full,0.4,0.26361111111111113,0.4796835693239213,0.42000000000000004,0.4413888888888889,0.5254263695129027,0.37,0.8030555555555555,0.633853334007705,0.7467857142857143,0.4738756613756614,10,48,48,1.0,2,2,0.4999999999999999,0.30000000000000004,0.06588263859455672,0.01265743252410414,0.13162523871891812,0.16984126984126985,0.006746031746031745,0.33651785714285704,0.004728007425780128,-0.05087831654510149,0.06268432445242826,0.022683612828407546,-0.011500685406728661,0.06677239548899398,0.10317460317460317,0.002777777777777779,0.2513888888888889,-0.004461671368969311,-0.049285840720695986,0.0426526014762607,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.75_protein0.00_confidence0.25,0.75,0.0,0.25,direct_off,0.4,0.26361111111111113,0.47353931452847264,0.42000000000000004,0.4413888888888889,0.5209857533031307,0.37,0.8030555555555555,0.6321741446330035,0.7467857142857143,0.4735449735449735,10,48,48,1.0,2,2,0.6,0.19999999999999998,0.06144202238478476,0.012517394053908847,0.1279277746766668,0.16984126984126985,0.00714285714285714,0.33650793650793653,0.0030488180510785555,-0.05348322260284302,0.05654225458254771,0.01824299661863558,-0.011494142048002453,0.055795178780362144,0.10317460317460317,0.001785714285714285,0.25,-0.006140860743670884,-0.04993132276249118,0.035969035214458475,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.50_protein0.25_confidence0.25,0.5,0.25,0.25,full,0.4,0.2602777777777778,0.45118846110799177,0.42000000000000004,0.4413888888888889,0.5048321976148569,0.37,0.8238888888888889,0.6219934974307157,0.6467857142857143,0.47619047619047616,10,48,48,1.0,2,2,0.20000000000000004,0.7,0.04528846669651097,0.0,0.09527928395184226,0.06984126984126984,0.002777777777777779,0.16985119047619035,-0.007131829151209107,-0.06415237972238087,0.04885679118646163,0.002089440930361802,-0.05348694041950093,0.05296347172140423,0.003174603174603169,-0.14682539682539683,0.15178571428571427,-0.016321507945958547,-0.09314090566787811,0.05044266896171858,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.55_protein0.20_confidence0.25,0.55,0.2,0.25,full,0.4,0.2602777777777778,0.45118846110799177,0.42000000000000004,0.4413888888888889,0.5048321976148569,0.35,0.7738888888888888,0.5998356572603842,0.6467857142857143,0.47585978835978837,10,48,48,1.0,2,2,0.19999999999999998,0.6,0.04528846669651097,0.0,0.09527928395184226,0.06984126984126984,0.001785714285714285,0.17023809523809524,-0.029289669321540562,-0.08548727209073327,0.026931298443229463,0.002089440930361802,-0.05348694041950093,0.055314647000814385,0.003174603174603169,-0.14821428571428572,0.15178571428571427,-0.03847934811629,-0.10689446046059854,0.020084739552070466,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.85_protein0.00_confidence0.15,0.85,0.0,0.15,direct_off,0.4333333333333333,0.28027777777777774,0.4685081426136809,0.42000000000000004,0.4413888888888889,0.5027427566844951,0.39,0.8480555555555556,0.6383150053766744,0.6436111111111111,0.5112433862433863,10,48,48,1.0,2,2,0.5999999999999999,0.0,0.04319902576614917,0.0,0.08794722788139948,0.06666666666666668,0.0,0.16666666666666669,0.00918967879474944,-0.04125228476502622,0.058846276798325506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11318334085062348,0.4253635364135134,True,True
W_rna0.80_protein0.05_confidence0.15,0.8,0.05,0.15,full,0.4333333333333333,0.28027777777777774,0.4685081426136809,0.42000000000000004,0.4413888888888889,0.5027427566844951,0.39,0.8480555555555556,0.6378853091779718,0.6436111111111111,0.5119047619047619,10,48,48,1.0,2,2,0.5,0.09999999999999994,0.04319902576614917,0.0,0.09407305655719157,0.06666666666666668,0.0,0.16666666666666669,0.008759982596046939,-0.04138098930675752,0.05948912739318535,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042969619870250055,-0.002615600166810006,0.0013802870839535685,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.50_protein0.20_confidence0.30,0.5,0.2,0.3,full,0.4333333333333333,0.2936111111111111,0.4685081426136809,0.42000000000000004,0.4413888888888889,0.5021584558231316,0.34,0.7627777777777778,0.5946625801661491,0.6491666666666667,0.4523809523809524,10,48,48,1.0,2,2,0.30000000000000004,0.7000000000000001,0.042614724904785614,0.0032532016510830597,0.08924995068503679,0.07222222222222222,0.004166666666666666,0.17222222222222222,-0.03446274641577565,-0.08148570344643244,0.015539295330615406,-0.0005843008613635569,-0.05913333667729923,0.050874030791042434,0.00555555555555555,-0.14447916666666666,0.15138888888888888,-0.04365242521052509,-0.11176836748455166,0.01712670373974739,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.55_protein0.15_confidence0.30,0.55,0.15,0.3,full,0.4,0.2602777777777778,0.4450442063125431,0.42000000000000004,0.4413888888888889,0.49890525417204845,0.34,0.7627777777777778,0.5914039979548567,0.6491666666666667,0.4517195767195767,10,48,48,1.0,2,2,0.3,0.6,0.039361523253702554,-0.0028326159958776465,0.08639805153229836,0.07222222222222222,0.002777777777777779,0.1763888888888889,-0.037721328627068285,-0.08830412987208117,0.013675541068864969,-0.003837502512446617,-0.06238653832838228,0.050874030791042434,0.00555555555555555,-0.14444444444444443,0.15277777777777776,-0.046911007421817724,-0.1158881534418826,0.012676389868469534,False,0.11318334085062348,0.4253635364135134,True,False
